X,Y,Z,formation,group
456500.314715,6786786.143693,-1858.393799,ness,ness e h
456400.314715,6786986.143693,-1867.286377,ness,ness e h
456650.314715,6786886.143693,-1846.565674,ness,ness e h
458705.025043,6786977.664994,-1763.4155269999999,ness,ness j
458755.025043,6788177.664994,-1828.19812,ness,ness j
458105.025043,6787077.664994,-1827.011963,ness,ness j
458755.025043,6786677.664994,-1776.920898,ness,ness j
458005.025043,6787627.664994,-1858.484619,ness,ness j
458455.025043,6787727.664994,-1820.189209,ness,ness j
457705.025043,6787577.664994,-1906.4625239999998,ness,ness j
458205.025043,6786577.664994,-1807.401855,ness,ness j
458255.025043,6786677.664994,-1825.7133789999998,ness,ness j
458605.025043,6786977.664994,-1764.5571289999998,ness,ness j
457755.025043,6786027.664994,-1769.3656010000002,ness,ness j
458455.025043,6787927.664994,-1845.574463,ness,ness j
457905.025043,6786177.664994,-1801.422119,ness,ness j
458605.025043,6788127.664994,-1854.707031,ness,ness j
458205.025043,6787577.664994,-1838.6940920000002,ness,ness j
458205.025043,6786527.664994,-1803.413574,ness,ness j
457755.025043,6785977.664994,-1757.9594730000001,ness,ness j
458305.025043,6786127.664994,-1796.32605,ness,ness j
458105.025043,6787877.664994,-1875.7441410000001,ness,ness j
458005.025043,6787827.664994,-1899.8687739999998,ness,ness j
455057.52736199996,6787355.882706,-1862.702393,tarbert,tarbert c
455607.52736199996,6785655.882706,-1833.890137,tarbert,tarbert c
455157.52736199996,6787605.882706,-1879.1623539999998,tarbert,tarbert c
455657.52736199996,6785705.882706,-1819.096924,tarbert,tarbert c
455457.52736199996,6787405.882706,-1840.835815,tarbert,tarbert c
455007.52736199996,6787005.882706,-1907.495972,tarbert,tarbert c
455457.52736199996,6785855.882706,-1855.109009,tarbert,tarbert c
455007.52736199996,6785855.882706,-1902.383179,tarbert,tarbert c
455557.52736199996,6785855.882706,-1846.4279789999998,tarbert,tarbert c
455007.52736199996,6786255.882706,-1923.89917,tarbert,tarbert c
455257.52736199996,6786205.882706,-1887.3061519999999,tarbert,tarbert c
455607.52736199996,6786105.882706,-1840.629272,tarbert,tarbert c
455607.52736199996,6786055.882706,-1850.226929,tarbert,tarbert c
455357.52736199996,6785955.882706,-1861.595093,tarbert,tarbert c
455457.52736199996,6787505.882706,-1837.8845210000002,tarbert,tarbert c
455357.52736199996,6785755.882706,-1874.246216,tarbert,tarbert c
455107.52736199996,6787805.882706,-1883.408813,tarbert,tarbert c
455257.52736199996,6788205.882706,-1873.6112059999998,tarbert,tarbert c
455007.52736199996,6786905.882706,-1919.590698,tarbert,tarbert c
455457.52736199996,6787805.882706,-1909.9207760000002,tarbert,tarbert c
456626.896442,6785581.540787,-1786.296387,tarbert,tarbert d
456176.896442,6787981.540787,-1915.226563,tarbert,tarbert d
456376.896442,6787681.540787,-1871.8380129999998,tarbert,tarbert d
456876.896442,6786631.540787,-1772.278687,tarbert,tarbert d
456626.896442,6785881.540787,-1813.886841,tarbert,tarbert d
456526.896442,6786231.540787,-1806.611938,tarbert,tarbert d
456226.896442,6785631.540787,-1819.9198,tarbert,tarbert d
456176.896442,6786031.540787,-1870.8853760000002,tarbert,tarbert d
455876.896442,6787181.540787,-1918.593506,tarbert,tarbert d
455726.896442,6788131.540787,-1914.83728,tarbert,tarbert d
456876.896442,6786131.540787,-1753.5327149999998,tarbert,tarbert d
456576.896442,6787181.540787,-1820.4084469999998,tarbert,tarbert d
