X,Y,Z,surface,group
455570.57326000003,6782391.468155,-1842.7991940000002,ness,ness G
455370.57326000003,6782691.468155,-1880.5909420000003,ness,ness G
455570.57326000003,6782441.468155,-1842.5682370000002,ness,ness G
455470.57326000003,6783091.468155,-1887.5684809999998,ness,ness G
455220.57326000003,6782591.468155,-1894.139282,ness,ness G
455720.57326000003,6782891.468155,-1838.960938,ness,ness G
455270.57326000003,6782591.468155,-1891.483154,ness,ness G
455870.57326000003,6782791.468155,-1814.658936,ness,ness G
455920.57326000003,6782991.468155,-1818.533325,ness,ness G
455270.57326000003,6782391.468155,-1882.2434079999998,ness,ness G
455720.57326000003,6782841.468155,-1831.790161,ness,ness G
455620.57326000003,6783041.468155,-1868.839478,ness,ness G
455370.57326000003,6783191.468155,-1894.358887,ness,ness G
455520.57326000003,6782741.468155,-1862.231445,ness,ness G
455770.57326000003,6782641.468155,-1815.501221,ness,ness G
455570.57326000003,6782591.468155,-1848.2678219999998,ness,ness G
455320.57326000003,6782691.468155,-1883.848267,ness,ness G
455270.57326000003,6783191.468155,-1907.2209469999998,ness,ness G
455670.57326000003,6782691.468155,-1825.3853760000002,ness,ness G
455620.57326000003,6783441.468155,-1867.593384,ness,ness G
455670.57326000003,6782741.468155,-1827.223145,ness,ness G
455270.57326000003,6782491.468155,-1884.097778,ness,ness G
455470.57326000003,6782791.468155,-1868.480347,ness,ness G
455720.57326000003,6782941.468155,-1839.514282,ness,ness G
455570.57326000003,6783041.468155,-1875.663818,ness,ness G
455320.57326000003,6782891.468155,-1881.885864,ness,ness G
455570.57326000003,6782391.468155,-1842.7991940000002,ness,ness G
455820.57326000003,6782491.468155,-1800.674561,ness,ness G
455820.57326000003,6782441.468155,-1799.0323489999998,ness,ness G
455670.57326000003,6783141.468155,-1861.0063480000001,ness,ness G
455570.57326000003,6783041.468155,-1875.663818,ness,ness G
455720.57326000003,6782741.468155,-1816.914673,ness,ness G
455720.57326000003,6782491.468155,-1816.00647,ness,ness G
455170.57326000003,6783141.468155,-1922.293701,ness,ness G
455620.57326000003,6782891.468155,-1863.582275,ness,ness G
455820.57326000003,6782641.468155,-1810.18811,ness,ness G
455670.57326000003,6782491.468155,-1823.906006,ness,ness G
455570.57326000003,6783391.468155,-1867.7250980000001,ness,ness G
455620.57326000003,6782891.468155,-1863.582275,ness,ness G
455470.57326000003,6783241.468155,-1882.387451,ness,ness G
455370.57326000003,6782641.468155,-1880.7950440000002,ness,ness G
455220.57326000003,6782741.468155,-1899.894897,ness,ness G
455820.57326000003,6782491.468155,-1800.674561,ness,ness G
455720.57326000003,6783291.468155,-1849.076782,ness,ness G
455470.57326000003,6783041.468155,-1893.557495,ness,ness G
455670.57326000003,6783391.468155,-1861.405884,ness,ness G
455270.57326000003,6782741.468155,-1893.749146,ness,ness G
